"idno","netusoft","netustm","polintr","vote","prtvtgee","clsprty","prtclgee","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","happy","health","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","ctzcntr","ctzshipd","brncntr","cntbrthd","lnghom1","lnghom2","gndr","agea","rshpsts","marsts","domicil","edlvdee","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","icwhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","region","totinch","ptotinc"
6,5,90,3,1,1,2,NA,NA,5,10,8,6,7,8,4,10,2,2,NA,2,NA,6,1,"6666",1,"6666","EST","000",2,37,1,NA,4,610,16,8,NA,2018,1,NA,1,4,1,35,9,9,40,1,40,18,4,3322,2,2,NA,NA,3,"North",2872,344
20,5,60,1,2,NA,2,NA,NA,5,9,7,6,7,9,1,8,3,1,5,NA,NA,1,2,"RU",2,"RU","RUS","000",1,72,1,NA,2,720,17,6,NA,2017,2,100,NA,4,1,100,5,3,40,1,40,25,4,1221,2,2,NA,NA,2,"North",2115,1058
22,4,180,1,2,NA,1,6,2,8,5,3,1,3,8,1,8,4,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",1,57,1,NA,2,313,11,1,NA,NA,2,3,NA,1,1,2,9,9,40,1,55,46,4,1420,2,2,NA,NA,3,"North",1047,262
26,5,180,4,1,1,1,1,3,5,5,2,5,5,4,0,5,3,1,3,NA,NA,8,1,"6666",1,"6666","RUS","EST",2,56,NA,5,3,710,15,1,NA,NA,1,NA,1,3,2,NA,6,2,36,1,40,85,2,2330,2,2,NA,NA,1,"Northeastern",1044,1044
126,5,300,4,2,NA,2,NA,NA,NA,4,NA,2,4,7,0,4,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,53,NA,4,4,213,8,5,NA,2000,1,NA,1,2,2,NA,7,0,45,1,45,1,4,6121,1,1,1,2,3,"Southern",98,98
148,5,360,2,NA,NA,2,NA,NA,NA,5,1,6,2,3,0,5,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",1,35,1,NA,1,423,14,1,NA,NA,1,NA,1,3,1,3,8,8,40,1,40,70,2,2512,1,2,NA,NA,3,"North",4589.29741560462,1530
151,5,60,2,1,1,1,1,2,8,5,5,3,6,8,3,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,75,NA,5,1,313,11,6,NA,2000,1,NA,1,3,2,NA,7,4,40,1,40,52,4,4321,2,2,NA,NA,2,"North",663,663
174,2,NA,3,3,NA,NA,NA,NA,5,7,4,5,7,6,2,6,4,1,3,NA,NA,8,2,"RU",2,"RU","RUS","000",2,72,1,NA,3,313,11,8,NA,2013,1,NA,1,2,2,NA,5,5,30,1,30,47,1,9112,2,1,1,2,2,"North",981,279
185,5,120,2,2,NA,2,NA,NA,8,5,5,4,5,7,5,6,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,28,3,6,3,213,12,1,NA,NA,1,NA,1,4,2,NA,8,1,40,1,48,25,4,7233,2,2,NA,NA,3,"Western",2151,717
191,5,240,3,2,NA,2,NA,NA,5,6,5,5,NA,8,4,7,4,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,28,3,6,4,313,12,1,NA,NA,1,NA,1,3,1,5,10,7,40,1,40,16,4,1324,2,1,2,1,3,"Southern",1807,452
291,1,NA,3,1,2,1,2,2,NA,10,3,5,NA,8,9,10,2,2,NA,2,NA,1,1,"6666",1,"6666","EST","000",2,85,NA,5,2,313,10,6,NA,1993,1,NA,1,3,2,NA,0,0,40,1,40,56,1,9412,2,2,NA,NA,3,"North",440,440
307,5,90,3,3,NA,1,4,2,3,9,7,6,8,8,6,8,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",2,18,NA,6,3,213,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"Southern",2209,0
390,3,NA,3,3,NA,1,2,3,2,4,2,4,0,3,1,7,4,1,3,NA,NA,8,2,"6500",1,"6666","RUS","000",2,47,1,NA,1,323,11,1,NA,NA,1,NA,2,1,2,NA,1,1,40,1,40,56,1,9412,2,1,2,2,2,"North",1276,425
423,5,530,3,1,1,1,1,2,6,9,8,7,8,9,7,9,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,59,1,NA,3,323,11,1,NA,NA,1,NA,1,2,2,NA,8,6,40,1,40,46,4,3313,2,2,NA,NA,2,"Central",2035,1018
427,5,60,3,1,5,1,1,2,4,8,6,5,8,8,7,7,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,34,3,6,4,321,13,1,NA,NA,1,NA,1,1,2,NA,7,1,40,1,40,41,4,7111,2,2,NA,NA,3,"Western",1379,460
497,4,120,3,1,NA,2,NA,NA,5,3,3,2,1,2,2,3,4,2,NA,2,NA,3,1,"6666",1,"6666","EST","000",2,47,NA,4,2,323,16,1,NA,NA,1,NA,1,1,2,NA,10,7,20,1,45,56,4,5120,2,2,NA,NA,2,"North",589,196
518,5,270,3,1,2,1,2,3,8,8,5,7,8,10,4,9,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",2,58,1,NA,1,423,14,6,NA,2013,1,NA,1,4,2,NA,5,5,40,1,44,84,1,4416,2,2,NA,NA,1,"Northeastern",1298,433
611,5,180,1,1,4,2,NA,NA,6,7,3,3,5,7,5,8,3,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,63,NA,4,4,720,16,6,NA,2015,1,NA,1,2,2,NA,10,7,168,1,168,58,4,4120,2,2,NA,NA,2,"North",850,850
628,5,480,3,1,1,1,1,2,5,7,6,5,5,7,4,8,2,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,38,NA,4,1,423,12,1,NA,NA,1,NA,1,2,2,NA,3,0,40,1,40,46,4,3322,2,2,NA,NA,3,"North",2250,1125
650,5,180,3,1,2,1,2,2,5,7,5,7,7,5,4,7,2,2,NA,2,NA,4,1,"6666",1,"6666","RUS","000",1,51,1,NA,1,323,11,1,NA,NA,1,NA,1,3,2,NA,7,1,40,1,40,45,4,7231,2,2,NA,NA,2,"North",2398,600
751,5,300,2,3,NA,2,NA,NA,7,6,8,6,8,5,3,6,2,1,3,NA,NA,3,2,"RU",2,"BY","RUS","000",1,39,1,NA,1,620,18,1,NA,NA,1,NA,2,1,1,2,10,7,10,1,10,68,4,3334,2,1,1,2,3,"North",2144,1072
774,2,NA,4,2,NA,2,NA,NA,9,4,7,3,4,5,7,5,2,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",1,37,NA,4,5,313,12,1,NA,NA,1,NA,1,1,2,NA,8,3,40,1,45,41,4,7115,2,1,2,2,3,"Southern",1706,1706
883,5,120,2,3,NA,2,NA,NA,5,8,7,7,6,6,4,8,4,2,NA,2,NA,0,2,"RU",2,"RU","RUS","000",1,26,1,NA,1,610,14,1,NA,NA,2,1,NA,1,2,NA,10,10,48,1,48,90,5,2651,1,1,1,2,3,"Northeastern",898,449
891,5,180,2,1,3,1,3,2,5,7,7,5,7,8,7,7,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,39,3,6,1,610,16,1,NA,NA,1,NA,1,3,1,30,7,7,40,1,45,47,4,1420,2,2,NA,NA,3,"North",1602,400
958,2,NA,3,NA,NA,2,NA,NA,5,7,5,3,5,6,2,7,3,2,NA,2,NA,4,1,"6666",2,"RU","RUS","EST",2,63,1,NA,3,313,10,6,NA,NA,1,NA,1,3,2,NA,0,0,40,1,40,15,4,9629,2,1,2,2,3,"Southern",1682,841
1015,5,150,4,2,NA,2,NA,NA,NA,7,6,5,6,8,8,8,1,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,22,NA,6,4,323,13,1,NA,NA,1,NA,1,2,2,NA,2,0,40,1,50,41,4,7111,1,2,NA,NA,3,"Western",1571,1571
1039,4,30,2,1,1,1,1,2,8,8,4,4,8,7,NA,8,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","RUS",1,63,1,NA,3,423,17,1,NA,NA,1,NA,1,3,2,NA,2,1,44,1,46,47,4,5223,2,2,NA,NA,2,"Northeastern",1302,434
1061,5,720,2,2,NA,2,NA,NA,7,7,7,6,6,9,8,7,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",1,21,NA,6,3,313,15,2,NA,2018,1,NA,2,1,2,NA,10,8,40,1,50,2,4,6210,2,2,NA,NA,3,"Western",2278,0
1107,1,NA,1,2,NA,1,6,2,8,2,9,5,9,8,7,5,3,2,NA,2,NA,5,1,"6666",1,"6666","EST","000",1,71,NA,6,1,313,11,6,NA,2018,1,NA,2,2,2,NA,2,2,40,1,40,71,3,3112,2,1,2,2,2,"North",211,211
1121,5,240,1,1,3,2,NA,NA,8,9,8,6,9,9,4,8,2,2,NA,2,NA,2,1,"6666",1,"6666","EST","000",1,49,NA,4,2,720,18,1,NA,NA,1,NA,1,1,1,1,9,2,40,1,30,82,1,1330,1,1,2,1,3,"North",960,960
1148,5,210,1,1,2,1,6,2,3,6,8,9,9,9,7,9,3,2,NA,2,NA,4,1,"6666",1,"6666","EST","000",1,79,1,NA,1,313,11,6,NA,2004,1,NA,1,4,2,NA,0,0,40,1,40,49,4,8331,2,2,NA,NA,2,"Western",1001,500
1265,5,120,3,3,NA,2,NA,NA,NA,1,NA,NA,NA,4,4,5,5,1,4,NA,NA,10,2,"6500",2,"RU","RUS","000",2,70,NA,4,1,213,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,"North",417,417
1464,5,30,4,1,2,2,NA,NA,5,8,8,5,5,9,3,10,2,2,NA,2,NA,0,1,"6666",1,"6666","RUS","EST",2,43,1,NA,3,423,14,1,NA,NA,1,NA,1,3,2,NA,7,0,40,1,40,13,4,8153,2,1,2,2,3,"Central",3932.94180273534,1311
1487,5,480,3,2,NA,2,NA,NA,5,5,4,3,4,5,3,7,3,2,NA,2,NA,10,1,"6666",1,"6666","EST","000",2,59,1,NA,4,620,16,1,NA,NA,2,8,NA,1,1,8,10,10,NA,2,65,55,4,1411,2,2,NA,NA,2,"Western",2108,1054
1497,2,NA,3,1,4,2,NA,NA,NA,5,3,NA,NA,8,5,5,2,2,NA,2,NA,0,1,"6666",1,"6666","EST","000",2,48,NA,6,5,323,11,1,NA,NA,1,NA,2,1,2,NA,10,3,35,1,35,47,4,5223,2,1,1,1,3,"Southern",442,442
