var_name;label;var_values
netusoft;Internet use, how often;" chr [1:5] ""[1] Never"" ""[2] Only occasionally"" ""[3] A few times a week"" ""[4] Most days"" ""[5] Every day"""
netustm;Internet use, how much time on typical day, in minutes; Named num(0) 
polintr;How interested in politics;" chr [1:4] ""[1] Very interested"" ""[2] Quite interested"" ""[3] Hardly interested"" ""[4] Not at all interested"""
vote;Voted last national election;" chr [1:3] ""[1] Yes"" ""[2] No"" ""[3] Not eligible to vote"""
prtvtgee;Party voted for in last national election, Estonia;" chr [1:11] ""[1] Eesti Reformierakond"" ""[2] Eesti Keskerakond"" ""[3] Erakond Isamaa ja Res Publica Liit"" ""[4] Sotsiaaldemokraatlik Erakond"" ""[5] Erakond Eestimaa Rohelised"" ""[6] Eesti Konservatiivne Rahvaerakond"" ""[9] Eesti Iseseisvuspartei"" ""[10] <U+00C3><U+0153>ksikkandidaadid v<U+00C3>µi muud"" ""[11] Eesti Vabaerakond"" ""[12] Rahva <U+00C3><U+0153>htsuse Erakond"" ""[13] Other"""
clsprty;Feel closer to a particular party than all other parties;" chr [1:2] ""[1] Yes"" ""[2] No"""
prtclgee;Which party feel closer to, Estonia;" chr [1:11] ""[1] Eesti Reformierakond"" ""[2] Eesti Keskerakond"" ""[3] Erakond Isamaa ja Res Publica Liit"" ""[4] Sotsiaaldemokraatlik Erakond"" ""[5] Erakond Eestimaa Rohelised"" ""[6] Eesti Konservatiivne Rahvaerakond"" ""[9] Eesti Iseseisvuspartei"" ""[10] <U+00C3><U+0153>ksikkandidaadid v<U+00C3>µi muud"" ""[11] Eesti Vabaerakond"" ""[12] Rahva <U+00C3><U+0153>htsuse Erakond"" ""[13] Other"""
prtdgcl;How close to party;" chr [1:4] ""[1] Very close"" ""[2] Quite close"" ""[3] Not close"" ""[4] Not at all close"""
lrscale;Placement on left right scale;" chr [1:11] ""[0] Left"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Right"""
stflife;How satisfied with life as a whole;" chr [1:11] ""[0] Extremely dissatisfied"" ""[1] 1"" ""[2] 2"" ""[3] 3"" ""[4] 4"" ""[5] 5"" ""[6] 6"" ""[7] 7"" ""[8] 8"" ""[9] 9"" ""[10] Extremely satisfied"""
